"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"","605","canvas-keyboard-response","389","638324","0.0-1.0-0.194","j","false","30","false","response","true",""
"","null","html-keyboard-response","390","639826","0.0-1.0-1.194","null","","","","","","Correct!"
"","773","canvas-keyboard-response","391","641100","0.0-1.0-0.195","f","true","20","true","response","true",""
"","null","html-keyboard-response","392","642603","0.0-1.0-1.195","null","","","","","","Correct!"
"","996","canvas-keyboard-response","393","644100","0.0-1.0-0.196","f","true","30","true","response","true",""
"","null","html-keyboard-response","394","645603","0.0-1.0-1.196","null","","","","","","Correct!"
"","620","canvas-keyboard-response","395","646724","0.0-1.0-0.197","f","true","10","false","response","true",""
"","null","html-keyboard-response","396","648227","0.0-1.0-1.197","null","","","","","","Correct!"
"","1061","canvas-keyboard-response","397","649789","0.0-1.0-0.198","j","false","10","true","response","true",""
"","null","html-keyboard-response","398","651291","0.0-1.0-1.198","null","","","","","","Correct!"
"","549","canvas-keyboard-response","399","652341","0.0-1.0-0.199","f","true","20","false","response","true",""
"","null","html-keyboard-response","400","653843","0.0-1.0-1.199","null","","","","","","Correct!"
"","1013","canvas-keyboard-response","401","655358","0.0-1.0-0.200","f","true","10","true","response","true",""
"","null","html-keyboard-response","402","656861","0.0-1.0-1.200","null","","","","","","Correct!"
"","1276","canvas-keyboard-response","403","658638","0.0-1.0-0.201","f","true","30","true","response","true",""
"","null","html-keyboard-response","404","660140","0.0-1.0-1.201","null","","","","","","Correct!"
"","518","canvas-keyboard-response","405","661158","0.0-1.0-0.202","j","false","30","false","response","true",""
"","null","html-keyboard-response","406","662660","0.0-1.0-1.202","null","","","","","","Correct!"
"","701","canvas-keyboard-response","407","663862","0.0-1.0-0.203","f","true","10","false","response","true",""
"","null","html-keyboard-response","408","665363","0.0-1.0-1.203","null","","","","","","Correct!"
"","3086","canvas-keyboard-response","409","668951","0.0-1.0-0.204","j","false","40","true","response","true",""
