"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"","927","canvas-keyboard-response","93","166219","0.0-1.0-0.46","j","false","30","true","response","true",""
"","null","html-keyboard-response","94","167721","0.0-1.0-1.46","null","","","","","","Correct!"
"","893","canvas-keyboard-response","95","169119","0.0-1.0-0.47","f","true","10","true","response","true",""
"","null","html-keyboard-response","96","170621","0.0-1.0-1.47","null","","","","","","Correct!"
"","915","canvas-keyboard-response","97","172040","0.0-1.0-0.48","j","false","30","true","response","true",""
"","null","html-keyboard-response","98","173543","0.0-1.0-1.48","null","","","","","","Correct!"
"","771","canvas-keyboard-response","99","174819","0.0-1.0-0.49","f","true","30","false","response","true",""
"","null","html-keyboard-response","100","176321","0.0-1.0-1.49","null","","","","","","Correct!"
"","897","canvas-keyboard-response","101","177721","0.0-1.0-0.50","j","false","30","false","response","true",""
"","null","html-keyboard-response","102","179223","0.0-1.0-1.50","null","","","","","","Correct!"
"","926","canvas-keyboard-response","103","180652","0.0-1.0-0.51","j","false","30","true","response","true",""
"","null","html-keyboard-response","104","182154","0.0-1.0-1.51","null","","","","","","Correct!"
"","598","canvas-keyboard-response","105","183257","0.0-1.0-0.52","f","true","40","true","response","true",""
"","null","html-keyboard-response","106","184759","0.0-1.0-1.52","null","","","","","","Correct!"
"","722","canvas-keyboard-response","107","185984","0.0-1.0-0.53","j","false","10","true","response","true",""
"","null","html-keyboard-response","108","187486","0.0-1.0-1.53","null","","","","","","Correct!"
"","1405","canvas-keyboard-response","109","189396","0.0-1.0-0.54","j","false","20","false","response","true",""
"","null","html-keyboard-response","110","190897","0.0-1.0-1.54","null","","","","","","Correct!"
"","834","canvas-keyboard-response","111","192234","0.0-1.0-0.55","j","false","20","false","response","true",""
"","null","html-keyboard-response","112","193735","0.0-1.0-1.55","null","","","","","","Correct!"
"","807","canvas-keyboard-response","113","195046","0.0-1.0-0.56","j","false","20","true","response","true",""
"","null","html-keyboard-response","114","196548","0.0-1.0-1.56","null","","","","","","Correct!"
"","771","canvas-keyboard-response","115","197824","0.0-1.0-0.57","j","false","20","true","response","true",""
"","null","html-keyboard-response","116","199326","0.0-1.0-1.57","null","","","","","","Correct!"
"","1038","canvas-keyboard-response","117","200866","0.0-1.0-0.58","f","true","20","true","response","true",""
"","null","html-keyboard-response","118","202369","0.0-1.0-1.58","null","","","","","","Correct!"
"","1453","canvas-keyboard-response","119","204326","0.0-1.0-0.59","j","true","40","true","response","false",""
"","null","html-keyboard-response","120","205828","0.0-1.0-1.59","null","","","","","","Wrong"
"","527","canvas-keyboard-response","121","206858","0.0-1.0-0.60","f","true","10","false","response","true",""
"","null","html-keyboard-response","122","208361","0.0-1.0-1.60","null","","","","","","Correct!"
"","751","canvas-keyboard-response","123","209614","0.0-1.0-0.61","f","true","10","true","response","true",""
"","null","html-keyboard-response","124","211117","0.0-1.0-1.61","null","","","","","","Correct!"
"","1754","canvas-keyboard-response","125","213375","0.0-1.0-0.62","j","false","40","false","response","true",""
"","null","html-keyboard-response","126","214877","0.0-1.0-1.62","null","","","","","","Correct!"
"","988","canvas-keyboard-response","127","216370","0.0-1.0-0.63","f","true","40","false","response","true",""
"","null","html-keyboard-response","128","217872","0.0-1.0-1.63","null","","","","","","Correct!"
"","985","canvas-keyboard-response","129","219361","0.0-1.0-0.64","f","true","30","true","response","true",""
"","null","html-keyboard-response","130","220863","0.0-1.0-1.64","null","","","","","","Correct!"
"","709","canvas-keyboard-response","131","222074","0.0-1.0-0.65","f","true","20","false","response","true",""
"","null","html-keyboard-response","132","223576","0.0-1.0-1.65","null","","","","","","Correct!"
"","1102","canvas-keyboard-response","133","225184","0.0-1.0-0.66","j","false","30","true","response","true",""
"","null","html-keyboard-response","134","226685","0.0-1.0-1.66","null","","","","","","Correct!"
"","807","canvas-keyboard-response","135","227996","0.0-1.0-0.67","j","false","20","true","response","true",""
"","null","html-keyboard-response","136","229497","0.0-1.0-1.67","null","","","","","","Correct!"
"","934","canvas-keyboard-response","137","230936","0.0-1.0-0.68","f","true","40","true","response","true",""
"","null","html-keyboard-response","138","232438","0.0-1.0-1.68","null","","","","","","Correct!"
"","693","canvas-keyboard-response","139","233635","0.0-1.0-0.69","j","false","10","true","response","true",""
"","null","html-keyboard-response","140","235136","0.0-1.0-1.69","null","","","","","","Correct!"
"","669","canvas-keyboard-response","141","236310","0.0-1.0-0.70","f","true","40","false","response","true",""
"","null","html-keyboard-response","142","237812","0.0-1.0-1.70","null","","","","","","Correct!"
"","877","canvas-keyboard-response","143","239192","0.0-1.0-0.71","j","false","20","false","response","true",""
"","null","html-keyboard-response","144","240694","0.0-1.0-1.71","null","","","","","","Correct!"
"","727","canvas-keyboard-response","145","241925","0.0-1.0-0.72","f","true","20","false","response","true",""
"","null","html-keyboard-response","146","243427","0.0-1.0-1.72","null","","","","","","Correct!"
"","1225","canvas-keyboard-response","147","245157","0.0-1.0-0.73","f","true","40","true","response","true",""
"","null","html-keyboard-response","148","246658","0.0-1.0-1.73","null","","","","","","Correct!"
"","1067","canvas-keyboard-response","149","248230","0.0-1.0-0.74","f","true","40","true","response","true",""
"","null","html-keyboard-response","150","249732","0.0-1.0-1.74","null","","","","","","Correct!"
"","725","canvas-keyboard-response","151","250962","0.0-1.0-0.75","f","true","10","false","response","true",""
"","null","html-keyboard-response","152","252464","0.0-1.0-1.75","null","","","","","","Correct!"
"","728","canvas-keyboard-response","153","253699","0.0-1.0-0.76","f","true","10","true","response","true",""
"","null","html-keyboard-response","154","255202","0.0-1.0-1.76","null","","","","","","Correct!"
"","931","canvas-keyboard-response","155","256638","0.0-1.0-0.77","f","false","10","true","response","false",""
"","null","html-keyboard-response","156","258140","0.0-1.0-1.77","null","","","","","","Wrong"
"","861","canvas-keyboard-response","157","259505","0.0-1.0-0.78","j","false","10","false","response","true",""
"","null","html-keyboard-response","158","261008","0.0-1.0-1.78","null","","","","","","Correct!"
"","656","canvas-keyboard-response","159","262169","0.0-1.0-0.79","f","true","20","false","response","true",""
"","null","html-keyboard-response","160","263672","0.0-1.0-1.79","null","","","","","","Correct!"
"","1650","canvas-keyboard-response","161","265827","0.0-1.0-0.80","j","false","30","true","response","true",""
"","null","html-keyboard-response","162","267330","0.0-1.0-1.80","null","","","","","","Correct!"
"","726","canvas-keyboard-response","163","268560","0.0-1.0-0.81","j","false","10","false","response","true",""
"","null","html-keyboard-response","164","270061","0.0-1.0-1.81","null","","","","","","Correct!"
"","795","canvas-keyboard-response","165","271359","0.0-1.0-0.82","f","true","20","true","response","true",""
"","null","html-keyboard-response","166","272862","0.0-1.0-1.82","null","","","","","","Correct!"
"","727","canvas-keyboard-response","167","274093","0.0-1.0-0.83","j","false","10","true","response","true",""
"","null","html-keyboard-response","168","275596","0.0-1.0-1.83","null","","","","","","Correct!"
"","625","canvas-keyboard-response","169","276724","0.0-1.0-0.84","f","true","30","false","response","true",""
"","null","html-keyboard-response","170","278227","0.0-1.0-1.84","null","","","","","","Correct!"
"","730","canvas-keyboard-response","171","279461","0.0-1.0-0.85","f","true","30","true","response","true",""
"","null","html-keyboard-response","172","280962","0.0-1.0-1.85","null","","","","","","Correct!"
"","844","canvas-keyboard-response","173","282311","0.0-1.0-0.86","j","false","20","false","response","true",""
"","null","html-keyboard-response","174","283813","0.0-1.0-1.86","null","","","","","","Correct!"
"","895","canvas-keyboard-response","175","285213","0.0-1.0-0.87","j","false","40","true","response","true",""
"","null","html-keyboard-response","176","286715","0.0-1.0-1.87","null","","","","","","Correct!"
"","1070","canvas-keyboard-response","177","288289","0.0-1.0-0.88","j","false","20","false","response","true",""
"","null","html-keyboard-response","178","289791","0.0-1.0-1.88","null","","","","","","Correct!"
"","591","canvas-keyboard-response","179","290885","0.0-1.0-0.89","f","true","20","false","response","true",""
"","null","html-keyboard-response","180","292386","0.0-1.0-1.89","null","","","","","","Correct!"
"","652","canvas-keyboard-response","181","293543","0.0-1.0-0.90","f","true","40","false","response","true",""
"","null","html-keyboard-response","182","295045","0.0-1.0-1.90","null","","","","","","Correct!"
"","726","canvas-keyboard-response","183","296275","0.0-1.0-0.91","f","true","20","true","response","true",""
"","null","html-keyboard-response","184","297777","0.0-1.0-1.91","null","","","","","","Correct!"
"","629","canvas-keyboard-response","185","298911","0.0-1.0-0.92","f","true","20","true","response","true",""
"","null","html-keyboard-response","186","300413","0.0-1.0-1.92","null","","","","","","Correct!"
"","933","canvas-keyboard-response","187","301850","0.0-1.0-0.93","j","false","10","true","response","true",""
"","null","html-keyboard-response","188","303353","0.0-1.0-1.93","null","","","","","","Correct!"
"","1143","canvas-keyboard-response","189","304999","0.0-1.0-0.94","j","false","40","true","response","true",""
"","null","html-keyboard-response","190","306502","0.0-1.0-1.94","null","","","","","","Correct!"
"","523","canvas-keyboard-response","191","307529","0.0-1.0-0.95","f","true","10","false","response","true",""
"","null","html-keyboard-response","192","309030","0.0-1.0-1.95","null","","","","","","Correct!"
"","740","canvas-keyboard-response","193","310272","0.0-1.0-0.96","f","true","40","true","response","true",""
"","null","html-keyboard-response","194","311776","0.0-1.0-1.96","null","","","","","","Correct!"
"","742","canvas-keyboard-response","195","313026","0.0-1.0-0.97","f","true","20","false","response","true",""
"","null","html-keyboard-response","196","314529","0.0-1.0-1.97","null","","","","","","Correct!"
"","1096","canvas-keyboard-response","197","316131","0.0-1.0-0.98","f","true","30","true","response","true",""
"","null","html-keyboard-response","198","317634","0.0-1.0-1.98","null","","","","","","Correct!"
"","1244","canvas-keyboard-response","199","319383","0.0-1.0-0.99","j","false","30","false","response","true",""
"","null","html-keyboard-response","200","320886","0.0-1.0-1.99","null","","","","","","Correct!"
"","977","canvas-keyboard-response","201","322368","0.0-1.0-0.100","f","true","20","true","response","true",""
"","null","html-keyboard-response","202","323870","0.0-1.0-1.100","null","","","","","","Correct!"
"","917","canvas-keyboard-response","203","325293","0.0-1.0-0.101","j","false","10","false","response","true",""
"","null","html-keyboard-response","204","326795","0.0-1.0-1.101","null","","","","","","Correct!"
"","527","canvas-keyboard-response","205","327827","0.0-1.0-0.102","f","true","20","false","response","true",""
"","null","html-keyboard-response","206","329330","0.0-1.0-1.102","null","","","","","","Correct!"
"","614","canvas-keyboard-response","207","330449","0.0-1.0-0.103","f","true","40","false","response","true",""
"","null","html-keyboard-response","208","331951","0.0-1.0-1.103","null","","","","","","Correct!"
"","1057","canvas-keyboard-response","209","333513","0.0-1.0-0.104","j","false","20","true","response","true",""
"","null","html-keyboard-response","210","335015","0.0-1.0-1.104","null","","","","","","Correct!"
"","639","canvas-keyboard-response","211","336157","0.0-1.0-0.105","f","true","20","false","response","true",""
"","null","html-keyboard-response","212","337659","0.0-1.0-1.105","null","","","","","","Correct!"
"","1186","canvas-keyboard-response","213","339350","0.0-1.0-0.106","f","true","30","true","response","true",""
"","null","html-keyboard-response","214","340853","0.0-1.0-1.106","null","","","","","","Correct!"
"","771","canvas-keyboard-response","215","342128","0.0-1.0-0.107","j","false","10","true","response","true",""
"","null","html-keyboard-response","216","343630","0.0-1.0-1.107","null","","","","","","Correct!"
"","1546","canvas-keyboard-response","217","345679","0.0-1.0-0.108","j","false","40","false","response","true",""
"","null","html-keyboard-response","218","347181","0.0-1.0-1.108","null","","","","","","Correct!"
"","1291","canvas-keyboard-response","219","348977","0.0-1.0-0.109","j","false","40","false","response","true",""
"","null","html-keyboard-response","220","350479","0.0-1.0-1.109","null","","","","","","Correct!"
"","873","canvas-keyboard-response","221","351858","0.0-1.0-0.110","f","true","40","true","response","true",""
"","null","html-keyboard-response","222","353360","0.0-1.0-1.110","null","","","","","","Correct!"
"","845","canvas-keyboard-response","223","354709","0.0-1.0-0.111","j","false","20","false","response","true",""
"","null","html-keyboard-response","224","356211","0.0-1.0-1.111","null","","","","","","Correct!"
"","511","canvas-keyboard-response","225","357225","0.0-1.0-0.112","f","true","10","false","response","true",""
"","null","html-keyboard-response","226","358727","0.0-1.0-1.112","null","","","","","","Correct!"
"","996","canvas-keyboard-response","227","360225","0.0-1.0-0.113","j","false","20","false","response","true",""
"","null","html-keyboard-response","228","361726","0.0-1.0-1.113","null","","","","","","Correct!"
"","942","canvas-keyboard-response","229","363173","0.0-1.0-0.114","j","false","40","false","response","true",""
"","null","html-keyboard-response","230","364675","0.0-1.0-1.114","null","","","","","","Correct!"
"","568","canvas-keyboard-response","231","365746","0.0-1.0-0.115","f","true","20","false","response","true",""
"","null","html-keyboard-response","232","367249","0.0-1.0-1.115","null","","","","","","Correct!"
"","962","canvas-keyboard-response","233","368715","0.0-1.0-0.116","j","false","40","false","response","true",""
"","null","html-keyboard-response","234","370217","0.0-1.0-1.116","null","","","","","","Correct!"
"","700","canvas-keyboard-response","235","371420","0.0-1.0-0.117","f","true","10","false","response","true",""
"","null","html-keyboard-response","236","372923","0.0-1.0-1.117","null","","","","","","Correct!"
"","568","canvas-keyboard-response","237","373995","0.0-1.0-0.118","f","true","10","false","response","true",""
"","null","html-keyboard-response","238","375497","0.0-1.0-1.118","null","","","","","","Correct!"
"","671","canvas-keyboard-response","239","376671","0.0-1.0-0.119","f","true","20","true","response","true",""
"","null","html-keyboard-response","240","378173","0.0-1.0-1.119","null","","","","","","Correct!"
"","1081","canvas-keyboard-response","241","379757","0.0-1.0-0.120","j","false","40","false","response","true",""
"","null","html-keyboard-response","242","381260","0.0-1.0-1.120","null","","","","","","Correct!"
"","1367","canvas-keyboard-response","243","383132","0.0-1.0-0.121","f","true","30","true","response","true",""
"","null","html-keyboard-response","244","384634","0.0-1.0-1.121","null","","","","","","Correct!"
"","955","canvas-keyboard-response","245","386094","0.0-1.0-0.122","j","false","40","true","response","true",""
"","null","html-keyboard-response","246","387595","0.0-1.0-1.122","null","","","","","","Correct!"
"","712","canvas-keyboard-response","247","388812","0.0-1.0-0.123","f","true","20","true","response","true",""
"","null","html-keyboard-response","248","390313","0.0-1.0-1.123","null","","","","","","Correct!"
"","762","canvas-keyboard-response","249","391580","0.0-1.0-0.124","f","true","10","true","response","true",""
"","null","html-keyboard-response","250","393082","0.0-1.0-1.124","null","","","","","","Correct!"
"","643","canvas-keyboard-response","251","394229","0.0-1.0-0.125","f","true","30","false","response","true",""
"","null","html-keyboard-response","252","395731","0.0-1.0-1.125","null","","","","","","Correct!"
"","750","canvas-keyboard-response","253","396986","0.0-1.0-0.126","j","false","10","true","response","true",""
"","null","html-keyboard-response","254","398488","0.0-1.0-1.126","null","","","","","","Correct!"
"","1002","canvas-keyboard-response","255","399994","0.0-1.0-0.127","j","false","40","true","response","true",""
"","null","html-keyboard-response","256","401495","0.0-1.0-1.127","null","","","","","","Correct!"
"","837","canvas-keyboard-response","257","402837","0.0-1.0-0.128","j","false","30","false","response","true",""
"","null","html-keyboard-response","258","404338","0.0-1.0-1.128","null","","","","","","Correct!"
"","674","canvas-keyboard-response","259","405516","0.0-1.0-0.129","j","false","10","false","response","true",""
"","null","html-keyboard-response","260","407019","0.0-1.0-1.129","null","","","","","","Correct!"
"","913","canvas-keyboard-response","261","408435","0.0-1.0-0.130","f","true","20","true","response","true",""
"","null","html-keyboard-response","262","409938","0.0-1.0-1.130","null","","","","","","Correct!"
"","687","canvas-keyboard-response","263","411128","0.0-1.0-0.131","f","true","30","false","response","true",""
"","null","html-keyboard-response","264","412630","0.0-1.0-1.131","null","","","","","","Correct!"
"","585","canvas-keyboard-response","265","413719","0.0-1.0-0.132","f","true","40","false","response","true",""
"","null","html-keyboard-response","266","415220","0.0-1.0-1.132","null","","","","","","Correct!"
"","635","canvas-keyboard-response","267","416359","0.0-1.0-0.133","f","true","10","true","response","true",""
"","null","html-keyboard-response","268","417861","0.0-1.0-1.133","null","","","","","","Correct!"
"","960","canvas-keyboard-response","269","419325","0.0-1.0-0.134","f","true","10","true","response","true",""
"","null","html-keyboard-response","270","420826","0.0-1.0-1.134","null","","","","","","Correct!"
"","1072","canvas-keyboard-response","271","422403","0.0-1.0-0.135","j","false","20","true","response","true",""
"","null","html-keyboard-response","272","423905","0.0-1.0-1.135","null","","","","","","Correct!"
"","633","canvas-keyboard-response","273","425044","0.0-1.0-0.136","f","true","30","false","response","true",""
"","null","html-keyboard-response","274","426545","0.0-1.0-1.136","null","","","","","","Correct!"
"","614","canvas-keyboard-response","275","427663","0.0-1.0-0.137","j","false","10","false","response","true",""
"","null","html-keyboard-response","276","429165","0.0-1.0-1.137","null","","","","","","Correct!"
